"","fno","country","year","season","lat","long","pc","cem","ast","nplsqm","ccd","vartype","fym","n","p","k","mf","wcp","iu","hu","fu","cs","ldg","yield","dscum","wecum","ntmax","npmax","nltmax","nlhmax","waa","wba","dhx","whx","ssx","wma","lfa","lma","rha","thrx","pmx","defa","bphx","wbpx","awx","rbx","rbbx","glhx","stbx","rbpx","hbx","bbx","blba","lba","bsa","blsa","nbsa","rsa","lsa","shbx","shrx","srx","fsmx","nbx","dpx","rtdx","rsdx","gsdx","rtx"
"1","1","PHL","2010","WS",14.1751,121.2935,1,"1","13",0,107,2,0,92,0,0,92,"2",0,1,0,"3",0,5.07,"0","0",18,16.6,5,5,840,750,6.07,4.14,0,327.73,124.23,0,0,0,0,398.3,0,0,0,0,0,13,0,NA,0,0,0,0,0,23.81,1693.29,0,0,1.63,0,0.67,0,7.79,0,0,0,0,5.54
"2","2","PHL","2010","WS",14.1747,121.2937,1,"1","13",0,107,2,0,92,0,0,92,"2",0,1,0,"2",0,4.23,"0","0",17.3,16.6,5.1,5.1,203.33,1000,8.27,0.53,0,339.78,181.41,0,0,0,0,342.53,1,0,0,0,0,26,0,NA,0,0,0,0,0,66.37,1622.39,0,0,1.54,0,0,0,0,0,4,0,0,5.72
"3","3","PHL","2010","WS",14.1766,121.3096,1,"1","18",0,118,2,0,99.5,0,0,99.5,"1",2,0,1,"3",100,4.61,"1","0",19.4,19.4,5,5,250,1000,0.91,1.96,0,118.07,76.19,0,0,0,0,250.93,4,0,0,0,0,46,0,NA,0,0,762.49,0,19.09,0,2212.19,0.29,156.04,2.73,0.83,1.92,0,0.38,0,8,0,0,0.45
"4","4","PHL","2010","WS",14.1765,121.3092,1,"1","18",0,118,2,0,107.3,0,0,107.3,"1",2,0,0,"3",100,4.88,"1","0",18.9,17.3,4.1,4.1,280,1000,0.91,1.54,0,68.8,22.06,0,0,0,0,71.46,4,0,0,0,0,50,0,NA,0,0,1012.57,0,36.58,0,1930.49,0,127.78,10.48,0.56,0.95,0,0,0,8,0,0,6.43
"5","5","PHL","2010","WS",14.1592,121.3077,1,"1","9",0,101,2,0,56.5,10.5,10.5,77.5,"2",1,1,0,"3",0,3.93,"1","0",19.8,16.5,5.2,5.2,70,750,2.36,1.72,0,439.34,898.72,0,0,0,0,526.36,1,0,0,1,0,18,0,NA,0,0,65.63,72.48,0,0,1144.98,0,0,3.33,1.05,0,0,4.71,0,0,0,0,2.86
"6","6","PHL","2010","WS",14.1594,121.3082,1,"1","9",0,101,2,0,56.5,10.5,10.5,77.5,"2",0,1,0,"3",0,4.87,"1","0",19.2,18.3,5.3,5.3,153.33,916.67,0.8,0.48,0,482.58,625.48,0,0,0,0,400.26,1,0,0,1,0,10,0,NA,0,0,0,56.08,0,40,1014.03,0,0,6.67,1.58,0,0,1.45,0,6,0,0,4.84
"7","7","PHL","2010","WS",14.1585,121.3086,1,"1","12",0,75,2,0,115,0,0,115,"2",2,2,0,"2",0,4.89,"0","0",17.8,16.2,5,5,133.33,750,2.33,6.28,0,638.54,274.21,0,0,0,0,440.6,0,0,0,0,0,93,0,NA,0,0,0,0,0,0,2416.58,0,0,4.01,0.77,0,0,0,0,30,0,0,3.64
"8","8","PHL","2010","WS",14.1582,121.3087,1,"1","12",0,75,2,0,95,0,0,95,"2",2,2,0,"3",0,4.45,"0","0",18.1,12.5,5,5,113.33,1000,0,12.67,0,508.65,242.46,0,0,0,0,470.98,2,2,0,0,0,66,0,NA,0,0,0,0,0,0,0,0.38,0,0,5.79,2.14,0,0,0,16,0,0,0
"9","9","PHL","2010","WS",14.1583,121.3078,1,"1","18",0,94,2,0,88,0,0,88,"1",2,0,1,"3",0,5.24,"0","0",22.6,19.6,5.2,5.2,90,166.67,1.85,0,0,153.86,895.72,0,0,0,0,601.47,1,0,0,1,0,9,0,NA,0,0,178.39,0,0,284.62,469.23,0.7,13.04,59.91,0,7.62,0,0,0,0,0,0,0.43
"10","10","PHL","2010","WS",14.1581,121.3079,1,"1","18",0,94,2,0,92,0,0,92,"1",2,0,1,"3",0,6.2,"0","0",25.2,21.6,5,5,143.33,166.67,0,0,0,317.71,804.07,0,0,0,0,595.66,5,0,1,0,0,12,0,NA,0,0,36.92,16.2,0,169.17,341.12,0.48,10.71,3.94,3.44,14.64,0,1.48,0,0,0,0,0
