wbph,bph
61,18
,
145,312
43,53
14,243
7,141
8,137
5,620
22,100
8,109
9,94
2,767
2,102
4,18
38,147
24,43
10,34
17,71
14,32
5,71
22,100
8,109
22,47
2,119
77,68
112,30
95,45
65,33
21,71
4,10
13,19
10,38
11,15
11,71
14,28
7,29
5,13
8,48
6,2
5,58
22,2
8,109
22,47
2,76
2,102
74,24
44,32
95,19
61,18
11,71
113,36
36,93
119,54
4,100
13,19
10,200
3,800
11,71
14,28
7,290
22,100
8,109
9,94
3,369
2,100
1,350
10,403
29,128
12,162
14,289
3,129
2,330
22,32
13,670
1,288
15,400
3,450
144,25
3,300
9,64
7,149
5,65
21,56
10,53
10,300
7,500
5,650
8,100
2,300
1,500
